Format Version,1.23,Take Name,rec4,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-18 04.41.51.694 PM,Total Frames in Take,7268,Total Exported Frames,7268,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
71,0.591667,0.005053,0.997457,-0.020659,0.068029,-1.605928,1.325915,0.141908,0.001524
72,0.600000,0.004976,0.997454,-0.020818,0.068024,-1.605930,1.325925,0.141911,0.001528
73,0.608333,0.004925,0.997451,-0.020903,0.068054,-1.605941,1.325933,0.141902,0.001534
74,0.616667,0.005225,0.997466,-0.020307,0.067988,-1.605897,1.325885,0.141926,0.001521
75,0.625000,0.004850,0.997444,-0.021119,0.068090,-1.605954,1.325953,0.141892,0.001532
76,0.633333,0.005137,0.997462,-0.020467,0.068002,-1.605906,1.325897,0.141914,0.001516
77,0.641667,0.004903,0.997448,-0.020998,0.068062,-1.605944,1.325936,0.141903,0.001530
78,0.650000,0.004911,0.997448,-0.020981,0.068068,-1.605943,1.325936,0.141901,0.001529
79,0.658333,0.005069,0.997456,-0.020693,0.068034,-1.605924,1.325913,0.141909,0.001520
80,0.666667,0.005093,0.997459,-0.020579,0.068021,-1.605913,1.325903,0.141925,0.001523
81,0.675000,0.004837,0.997443,-0.021118,0.068103,-1.605966,1.325947,0.141898,0.001534
82,0.683333,0.005083,0.997462,-0.020535,0.067988,-1.605914,1.325902,0.141926,0.001519
83,0.691667,0.004815,0.997440,-0.021201,0.068120,-1.605973,1.325958,0.141902,0.001537
84,0.700000,0.005008,0.997453,-0.020793,0.068046,-1.605931,1.325924,0.141918,0.001521
85,0.708333,0.004954,0.997448,-0.020951,0.068073,-1.605939,1.325932,0.141914,0.001529
86,0.716667,0.004946,0.997450,-0.020936,0.068052,-1.605937,1.325934,0.141919,0.001526
87,0.725000,0.004702,0.997433,-0.021444,0.068151,-1.605996,1.325981,0.141892,0.001543
88,0.733333,0.004864,0.997443,-0.021127,0.068094,-1.605959,1.325953,0.141912,0.001533
89,0.741667,0.004993,0.997453,-0.020827,0.068030,-1.605933,1.325930,0.141918,0.001521
90,0.750000,0.004751,0.997437,-0.021361,0.068125,-1.605982,1.325978,0.141900,0.001538
91,0.758333,0.004814,0.997444,-0.021135,0.068087,-1.605959,1.325954,0.141915,0.001540
92,0.766667,0.004921,0.997446,-0.021046,0.068080,-1.605950,1.325945,0.141908,0.001532
93,0.775000,0.004908,0.997448,-0.020992,0.068062,-1.605944,1.325941,0.141905,0.001526
94,0.783333,0.004640,0.997433,-0.021487,0.068142,-1.605991,1.325989,0.141896,0.001551
95,0.791667,0.004563,0.997429,-0.021675,0.068153,-1.605995,1.326002,0.141888,0.001548
96,0.800000,0.004730,0.997438,-0.021333,0.068115,-1.605971,1.325976,0.141897,0.001543
97,0.808333,0.004754,0.997441,-0.021293,0.068084,-1.605965,1.325969,0.141902,0.001540
98,0.816667,0.004810,0.997444,-0.021169,0.068074,-1.605956,1.325961,0.141908,0.001538
99,0.825000,0.004852,0.997446,-0.021080,0.068075,-1.605954,1.325954,0.141909,0.001536
100,0.833333,0.004627,0.997435,-0.021489,0.068121,-1.605985,1.325984,0.141891,0.001546
101,0.841667,0.004831,0.997443,-0.021168,0.068091,-1.605954,1.325958,0.141904,0.001534
102,0.850000,0.004794,0.997441,-0.021267,0.068097,-1.605957,1.325966,0.141901,0.001536
103,0.858333,0.004679,0.997434,-0.021498,0.068127,-1.605985,1.325983,0.141888,0.001538
104,0.866667,0.004921,0.997451,-0.020932,0.068039,-1.605926,1.325933,0.141922,0.001529
105,0.875000,0.004793,0.997441,-0.021220,0.068105,-1.605971,1.325960,0.141902,0.001540
106,0.883333,0.004854,0.997445,-0.021120,0.068080,-1.605958,1.325952,0.141911,0.001537
107,0.891667,0.004971,0.997454,-0.020828,0.068027,-1.605925,1.325926,0.141922,0.001524
108,0.900000,0.004850,0.997444,-0.021119,0.068088,-1.605956,1.325951,0.141912,0.001537
109,0.908333,0.004714,0.997441,-0.021293,0.068091,-1.605970,1.325962,0.141909,0.001542
110,0.916667,0.004975,0.997450,-0.020880,0.068062,-1.605930,1.325929,0.141925,0.001535
111,0.925000,0.004913,0.997451,-0.020920,0.068039,-1.605929,1.325929,0.141918,0.001525
112,0.933333,0.004729,0.997439,-0.021291,0.068110,-1.605975,1.325964,0.141905,0.001542
113,0.941667,0.004986,0.997454,-0.020813,0.068030,-1.605922,1.325925,0.141930,0.001529
114,0.950000,0.005008,0.997454,-0.020745,0.068040,-1.605924,1.325919,0.141932,0.001536
115,0.958333,0.004880,0.997447,-0.021037,0.068063,-1.605936,1.325938,0.141916,0.001534
116,0.966667,0.005044,0.997458,-0.020655,0.068011,-1.605909,1.325912,0.141933,0.001525
117,0.975000,0.004882,0.997448,-0.021022,0.068056,-1.605945,1.325939,0.141914,0.001534
118,0.983333,0.004979,0.997453,-0.020829,0.068041,-1.605922,1.325923,0.141918,0.001527
119,0.991667,0.004902,0.997448,-0.021050,0.068052,-1.605937,1.325943,0.141909,0.001524
120,1.000000,0.004925,0.997449,-0.020932,0.068067,-1.605934,1.325931,0.141909,0.001530
121,1.008333,0.004814,0.997444,-0.021166,0.068079,-1.605953,1.325953,0.141909,0.001538
122,1.016667,0.004963,0.997452,-0.020898,0.068037,-1.605929,1.325931,0.141915,0.001524
123,1.025000,0.004920,0.997449,-0.020999,0.068044,-1.605932,1.325937,0.141910,0.001525
124,1.033333,0.004881,0.997447,-0.021035,0.068070,-1.605947,1.325941,0.141905,0.001532
125,1.041667,0.004880,0.997447,-0.021024,0.068067,-1.605949,1.325943,0.141911,0.001531
126,1.050000,0.005126,0.997460,-0.020565,0.068003,-1.605908,1.325898,0.141927,0.001520
127,1.058333,0.004942,0.997454,-0.020861,0.068014,-1.605929,1.325925,0.141921,0.001527
128,1.066667,0.004738,0.997435,-0.021393,0.068143,-1.605984,1.325974,0.141898,0.001543
129,1.075000,0.004894,0.997450,-0.020961,0.068049,-1.605946,1.325935,0.141916,0.001530
130,1.083333,0.005022,0.997455,-0.020721,0.068034,-1.605926,1.325914,0.141926,0.001527
131,1.091667,0.004948,0.997450,-0.020926,0.068057,-1.605945,1.325932,0.141916,0.001530
132,1.100000,0.004661,0.997431,-0.021546,0.068161,-1.605998,1.325980,0.141894,0.001546
133,1.108333,0.004836,0.997444,-0.021146,0.068080,-1.605955,1.325945,0.141914,0.001538
134,1.116667,0.004915,0.997448,-0.021004,0.068058,-1.605942,1.325933,0.141921,0.001532
135,1.125000,0.004668,0.997432,-0.021542,0.068144,-1.605994,1.325982,0.141896,0.001544
136,1.133333,0.004753,0.997442,-0.021269,0.068083,-1.605967,1.325963,0.141910,0.001533
137,1.141667,0.004641,0.997433,-0.021490,0.068154,-1.605999,1.325980,0.141899,0.001549
138,1.150000,0.005073,0.997455,-0.020717,0.068030,-1.605916,1.325912,0.141926,0.001522
139,1.158333,0.004769,0.997441,-0.021263,0.068099,-1.605969,1.325958,0.141910,0.001541
140,1.166667,0.004660,0.997433,-0.021504,0.068139,-1.605994,1.325980,0.141901,0.001550
141,1.175000,0.004739,0.997435,-0.021404,0.068141,-1.605980,1.325970,0.141899,0.001540
142,1.183333,0.004907,0.997445,-0.021049,0.068099,-1.605951,1.325940,0.141912,0.001535
143,1.191667,0.004732,0.997437,-0.021356,0.068121,-1.605986,1.325968,0.141902,0.001547
144,1.200000,0.004724,0.997438,-0.021344,0.068120,-1.605987,1.325969,0.141899,0.001545
145,1.208333,0.004644,0.997430,-0.021606,0.068155,-1.606000,1.325988,0.141888,0.001540
146,1.216667,0.004834,0.997443,-0.021173,0.068092,-1.605963,1.325946,0.141905,0.001535
147,1.225000,0.004835,0.997443,-0.021087,0.068109,-1.605973,1.325945,0.141907,0.001541
148,1.233333,0.004784,0.997439,-0.021269,0.068122,-1.605982,1.325960,0.141896,0.001543
149,1.241667,0.005018,0.997454,-0.020791,0.068034,-1.605932,1.325917,0.141908,0.001515
150,1.250000,0.004658,0.997435,-0.021473,0.068120,-1.605986,1.325975,0.141894,0.001542
151,1.258333,0.004872,0.997443,-0.021142,0.068095,-1.605958,1.325945,0.141900,0.001533
152,1.266667,0.004756,0.997436,-0.021328,0.068142,-1.605983,1.325966,0.141895,0.001541
153,1.275000,0.004848,0.997443,-0.021127,0.068105,-1.605967,1.325948,0.141907,0.001540
154,1.283333,0.004782,0.997442,-0.021215,0.068092,-1.605970,1.325956,0.141904,0.001535
155,1.291667,0.004857,0.997442,-0.021161,0.068109,-1.605963,1.325947,0.141902,0.001536
156,1.300000,0.005016,0.997454,-0.020769,0.068034,-1.605926,1.325913,0.141923,0.001525
157,1.308333,0.004772,0.997439,-0.021306,0.068115,-1.605985,1.325963,0.141901,0.001540
158,1.316667,0.004899,0.997444,-0.021061,0.068101,-1.605956,1.325939,0.141915,0.001535
159,1.325000,0.004751,0.997438,-0.021317,0.068115,-1.605977,1.325964,0.141903,0.001539
160,1.333333,0.004762,0.997440,-0.021247,0.068109,-1.605973,1.325953,0.141903,0.001537
161,1.341667,0.004558,0.997427,-0.021700,0.068171,-1.606012,1.325994,0.141894,0.001553
162,1.350000,0.004735,0.997437,-0.021350,0.068122,-1.605974,1.325964,0.141902,0.001539
163,1.358333,0.004938,0.997448,-0.020953,0.068068,-1.605945,1.325933,0.141914,0.001527
164,1.366667,0.004787,0.997441,-0.021254,0.068101,-1.605967,1.325960,0.141903,0.001531
165,1.375000,0.004753,0.997437,-0.021336,0.068133,-1.605983,1.325965,0.141898,0.001543
166,1.383333,0.004662,0.997431,-0.021546,0.068160,-1.605994,1.325979,0.141898,0.001550
167,1.391667,0.004747,0.997437,-0.021368,0.068121,-1.605974,1.325965,0.141896,0.001537
168,1.400000,0.004831,0.997444,-0.021123,0.068094,-1.605964,1.325946,0.141905,0.001536
169,1.408333,0.004823,0.997441,-0.021203,0.068115,-1.605973,1.325952,0.141899,0.001539
170,1.416667,0.004803,0.997440,-0.021222,0.068124,-1.605977,1.325957,0.141901,0.001543
171,1.425000,0.004982,0.997452,-0.020835,0.068051,-1.605938,1.325922,0.141916,0.001528
172,1.433333,0.004741,0.997436,-0.021344,0.068140,-1.605984,1.325963,0.141895,0.001543
173,1.441667,0.004595,0.997429,-0.021586,0.068184,-1.606009,1.325988,0.141883,0.001553
174,1.450000,0.004957,0.997447,-0.020947,0.068084,-1.605947,1.325932,0.141912,0.001535
175,1.458333,0.004707,0.997434,-0.021443,0.068140,-1.605997,1.325970,0.141888,0.001541
176,1.466667,0.004915,0.997447,-0.021021,0.068076,-1.605954,1.325935,0.141906,0.001529
177,1.475000,0.004934,0.997449,-0.020952,0.068057,-1.605949,1.325932,0.141906,0.001526
178,1.483333,0.004687,0.997435,-0.021436,0.068135,-1.605990,1.325971,0.141888,0.001539
179,1.491667,0.004824,0.997442,-0.021200,0.068095,-1.605966,1.325949,0.141902,0.001537
180,1.500000,0.004925,0.997449,-0.020911,0.068069,-1.605952,1.325930,0.141914,0.001532
181,1.508333,0.004931,0.997450,-0.020920,0.068062,-1.605952,1.325932,0.141908,0.001527
182,1.516667,0.004770,0.997440,-0.021253,0.068106,-1.605968,1.325955,0.141902,0.001533
183,1.525000,0.004822,0.997441,-0.021182,0.068110,-1.605964,1.325951,0.141903,0.001536
184,1.533333,0.004755,0.997436,-0.021355,0.068136,-1.605981,1.325965,0.141892,0.001538
185,1.541667,0.004875,0.997444,-0.021073,0.068102,-1.605964,1.325944,0.141908,0.001534
186,1.550000,0.004772,0.997438,-0.021290,0.068122,-1.605971,1.325959,0.141903,0.001537
187,1.558333,0.004911,0.997449,-0.020975,0.068057,-1.605949,1.325932,0.141916,0.001532
188,1.566667,0.005132,0.997459,-0.020574,0.068022,-1.605908,1.325896,0.141928,0.001522
189,1.575000,0.004690,0.997435,-0.021456,0.068128,-1.605996,1.325977,0.141894,0.001544
190,1.583333,0.005101,0.997459,-0.020598,0.068006,-1.605917,1.325904,0.141926,0.001519
191,1.591667,0.004855,0.997442,-0.021135,0.068112,-1.605975,1.325947,0.141904,0.001540
192,1.600000,0.005231,0.997464,-0.020414,0.067983,-1.605895,1.325883,0.141929,0.001511
193,1.608333,0.004750,0.997441,-0.021270,0.068094,-1.605976,1.325957,0.141901,0.001540
194,1.616667,0.004917,0.997446,-0.020999,0.068090,-1.605958,1.325934,0.141903,0.001531
195,1.625000,0.004680,0.997432,-0.021478,0.068166,-1.605990,1.325973,0.141897,0.001548
196,1.633333,0.004796,0.997442,-0.021215,0.068095,-1.605969,1.325953,0.141897,0.001532
197,1.641667,0.005043,0.997454,-0.020747,0.068049,-1.605934,1.325915,0.141912,0.001525
198,1.650000,0.004964,0.997451,-0.020879,0.068051,-1.605935,1.325919,0.141911,0.001528
199,1.658333,0.005007,0.997452,-0.020803,0.068049,-1.605935,1.325919,0.141914,0.001526
200,1.666667,0.004826,0.997440,-0.021193,0.068122,-1.605974,1.325953,0.141894,0.001533
201,1.675000,0.004935,0.997448,-0.020958,0.068074,-1.605949,1.325932,0.141906,0.001532
202,1.683333,0.004740,0.997437,-0.021355,0.068127,-1.605988,1.325970,0.141891,0.001544
203,1.691667,0.004824,0.997442,-0.021195,0.068092,-1.605960,1.325950,0.141902,0.001535
204,1.700000,0.004852,0.997448,-0.021038,0.068052,-1.605949,1.325938,0.141905,0.001527
205,1.708333,0.004883,0.997446,-0.021027,0.068078,-1.605960,1.325939,0.141903,0.001530
206,1.716667,0.004948,0.997448,-0.020935,0.068075,-1.605951,1.325934,0.141906,0.001531
207,1.725000,0.005079,0.997458,-0.020659,0.068015,-1.605924,1.325908,0.141919,0.001519
208,1.733333,0.004868,0.997446,-0.021012,0.068088,-1.605951,1.325936,0.141911,0.001535
209,1.741667,0.005052,0.997451,-0.020769,0.068072,-1.605930,1.325915,0.141920,0.001526
210,1.750000,0.004851,0.997444,-0.021146,0.068085,-1.605959,1.325947,0.141907,0.001530
211,1.758333,0.004845,0.997443,-0.021135,0.068096,-1.605957,1.325947,0.141905,0.001531
212,1.766667,0.004894,0.997445,-0.021050,0.068088,-1.605947,1.325940,0.141908,0.001531
213,1.775000,0.005012,0.997455,-0.020741,0.068032,-1.605935,1.325918,0.141912,0.001518
214,1.783333,0.004727,0.997436,-0.021405,0.068129,-1.605986,1.325969,0.141891,0.001537
215,1.791667,0.004801,0.997442,-0.021187,0.068107,-1.605966,1.325948,0.141904,0.001537
216,1.800000,0.005109,0.997459,-0.020551,0.068017,-1.605915,1.325897,0.141925,0.001522
217,1.808333,0.004926,0.997444,-0.021024,0.068114,-1.605957,1.325935,0.141907,0.001533
218,1.816667,0.005066,0.997455,-0.020709,0.068039,-1.605925,1.325912,0.141919,0.001519
219,1.825000,0.004858,0.997441,-0.021180,0.068111,-1.605969,1.325949,0.141898,0.001536
220,1.833333,0.004727,0.997436,-0.021377,0.068137,-1.605988,1.325968,0.141891,0.001540
221,1.841667,0.004772,0.997442,-0.021213,0.068087,-1.605974,1.325956,0.141894,0.001531
222,1.850000,0.004998,0.997451,-0.020858,0.068056,-1.605945,1.325925,0.141909,0.001526
223,1.858333,0.004979,0.997449,-0.020914,0.068076,-1.605945,1.325927,0.141904,0.001529
224,1.866667,0.004879,0.997445,-0.021035,0.068104,-1.605955,1.325938,0.141904,0.001536
225,1.875000,0.004873,0.997446,-0.021062,0.068075,-1.605954,1.325942,0.141899,0.001527
226,1.883333,0.004810,0.997442,-0.021190,0.068101,-1.605971,1.325950,0.141897,0.001535
227,1.891667,0.005021,0.997453,-0.020790,0.068048,-1.605937,1.325920,0.141913,0.001527
228,1.900000,0.004828,0.997446,-0.021062,0.068080,-1.605961,1.325943,0.141902,0.001533
229,1.908333,0.005193,0.997465,-0.020400,0.067974,-1.605895,1.325884,0.141933,0.001515
230,1.916667,0.004915,0.997447,-0.020999,0.068074,-1.605953,1.325936,0.141909,0.001529
231,1.925000,0.004846,0.997445,-0.021077,0.068082,-1.605959,1.325939,0.141909,0.001532
232,1.933333,0.005013,0.997453,-0.020804,0.068044,-1.605940,1.325920,0.141919,0.001526
233,1.941667,0.005079,0.997455,-0.020683,0.068044,-1.605930,1.325908,0.141925,0.001522
234,1.950000,0.005127,0.997458,-0.020606,0.068027,-1.605927,1.325904,0.141925,0.001521
235,1.958333,0.005077,0.997455,-0.020729,0.068032,-1.605926,1.325908,0.141928,0.001525
236,1.966667,0.005402,0.997476,-0.019969,0.067917,-1.605863,1.325844,0.141959,0.001504
237,1.975000,0.004796,0.997439,-0.021291,0.068108,-1.605980,1.325958,0.141907,0.001542
238,1.983333,0.004986,0.997454,-0.020784,0.068040,-1.605942,1.325918,0.141927,0.001526
239,1.991667,0.005187,0.997462,-0.020483,0.067989,-1.605907,1.325891,0.141938,0.001517
240,2.000000,0.004987,0.997453,-0.020865,0.068031,-1.605941,1.325923,0.141920,0.001522
241,2.008333,0.005099,0.997460,-0.020585,0.068000,-1.605918,1.325901,0.141933,0.001519
242,2.016667,0.004993,0.997454,-0.020804,0.068035,-1.605931,1.325917,0.141921,0.001521
243,2.025000,0.004937,0.997451,-0.020886,0.068045,-1.605944,1.325924,0.141918,0.001528
244,2.033333,0.005007,0.997456,-0.020766,0.068013,-1.605928,1.325912,0.141921,0.001522
245,2.041667,0.004980,0.997452,-0.020867,0.068038,-1.605935,1.325924,0.141919,0.001521
246,2.050000,0.004768,0.997442,-0.021219,0.068092,-1.605976,1.325953,0.141896,0.001533
247,2.058333,0.004869,0.997445,-0.021041,0.068092,-1.605966,1.325942,0.141908,0.001541
248,2.066667,0.004958,0.997452,-0.020841,0.068054,-1.605946,1.325922,0.141907,0.001525
249,2.075000,0.004851,0.997446,-0.021044,0.068080,-1.605959,1.325942,0.141902,0.001530
250,2.083333,0.004958,0.997454,-0.020825,0.068022,-1.605932,1.325921,0.141915,0.001525
251,2.091667,0.004774,0.997443,-0.021214,0.068075,-1.605958,1.325951,0.141900,0.001534
252,2.100000,0.004978,0.997453,-0.020860,0.068030,-1.605928,1.325927,0.141916,0.001530
253,2.108333,0.004940,0.997452,-0.020870,0.068034,-1.605940,1.325928,0.141908,0.001526
254,2.116667,0.004891,0.997448,-0.020989,0.068060,-1.605939,1.325935,0.141913,0.001526
255,2.125000,0.004897,0.997447,-0.021016,0.068066,-1.605944,1.325939,0.141908,0.001527
